utterance,intent
show me flights from boston to san francisco ,flight
i'd like to go to boston from denver and i'd like to get there ,flight
flight from milwaukee to denver ,flight
show me all the flights on united leaving from boston ,flight
what is the schedule for flights between pittsburgh and boston on the evening of july ninth ,flight_time
what's the first class fare round trip from atlanta to denver ,airfare
is there a round trip flight from baltimore to dallas connecting in denver ,flight
i'd like the first flight in the morning from boston to washington ,flight
i'd like a limo in denver on august seventh ,ground_service
what flights from kansas city to denver after 845 in the morning ,flight
please list all flights leaving on thursday morning from new york city to toronto ,flight
show me the flights from san francisco to boston on august thirty first ,flight
does midwest express serve indianapolis ,flight
what type of aircraft leaving philadelphia to dallas ,aircraft
what is the departure time of the latest flight of united airlines from denver to boston ,flight_time
please show me the flights from atlanta to denver ,flight
what is ground transportation between the san francisco airport and the city ,ground_service
flights from newark to cleveland daily 5 o'clock pm ,flight
which flights are between boston and baltimore washington ,flight
what flights are there from newark to seattle on saturday ,flight
what flights are available wednesday morning from boston to denver ,flight
is there ground transportation from the dallas airport to downtown dallas ,ground_service
are there any flights from denver to atlanta to pittsburgh ,flight
all am flights departing pittsburgh arriving denver ,flight
does midwest express serve nashville ,flight
how can i go from minneapolis to long beach late tomorrow ,flight
okay i'd like to fly from denver to pittsburgh ,flight
i live in denver and i'd like to make a trip to pittsburgh ,flight
i would like to see flights from denver to philadelphia ,flight
what is the cheapest way to fly from denver to oakland ,flight
i would like to fly from philadelphia to dallas ,flight
i'm interested in a flight from dallas to washington and i'm also interested in going to baltimore ,flight
i would like the least expensive airfare flight on sunday to pittsburgh from san francisco ,airfare
i need a flight from denver to philadelphia ,flight
tell me which airlines have flights from pittsburgh to san francisco on monday september second ,airline
what are the schedule of flights from boston to san francisco for august first ,flight_time
what are the flights on tuesday october first from atlanta to baltimore ,flight
which airlines serve denver ,airline
i'd like to fly continental airlines between boston and philadelphia ,flight
does american airlines flight from long beach to st. louis stopping in dallas serve lunch ,flight
i'd like to find a nonstop flight from boston to atlanta that leaves sometime in the afternoon and arrives in atlanta before evening ,flight
show me flights from boston to denver on wednesday ,flight
show me the flights from boston to san francisco on united airlines ,flight
show me all flights from ontario to tacoma one way ,flight
is there a flight on delta airlines from boston to denver ,flight
how about april twenty seventh denver to washington ,flight
what's the fare from washington to boston ,airfare
what northwest airlines flights leave denver before noon ,flight
i need to fly from pittsburgh to oakland and depart in the afternoon ,flight
what ground transportation is available in baltimore for the day after tomorrow ,ground_service
what airlines fly from boston to atlanta ,airline
what flights from atlanta to toronto ,flight
what aircraft is used on delta flight 1222 from kansas city to salt lake city ,aircraft
list all flights on continental leaving denver and arriving at chicago on monday before noon ,flight
on september fourth i'll be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest ,flight
what ground transportation is available at denver airport ,ground_service
tell me about flights from atlanta to charlotte next monday ,flight
please list the earliest lunch flight from columbus to phoenix ,flight
what flights leaving pittsburgh arrive in denver and leave after say 6 o'clock at night ,flight
show me flights between memphis tennessee and las vegas ,flight
what flights from tampa to cincinnati ,flight
what flights are available from pittsburgh to oakland airport ,flight
give me information on flights from atlanta to washington dc leaving on thursday before 0900 ,flight
show me all flights from pittsburgh to dallas ,flight
show me the flights arriving around noon in baltimore from denver ,flight
i would like to fly on twa from baltimore to san francisco ,flight
how about arrivals for american in atlanta ,flight
hello i'd like a delta flight from atlanta to boston ,flight
all right would you let me know type of aircraft united airlines is using on the flights from denver to san francisco i would like to know the type of aircraft that they use on these flights before 10 in the morning ,aircraft
show me the earliest flight on august second from boston to denver that serves a meal ,flight
find me the latest flight leaving atlanta august seventh and arriving in denver ,flight
a breakfast flight from denver to san francisco please ,flight
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast ,flight
how many delta flights leave from washington ,quantity
give me the earliest flight tomorrow from st. petersburg to milwaukee on a airline other than twa ,flight
i want to fly from boston to baltimore ,flight
what morning flights do you have between oakland and denver ,flight
how do i get from bwi to washington ,flight
does united airline have any flights from dallas to san francisco ,flight
which flights are serviced by american airlines ,flight
how many cities are served by twa with first class flights ,quantity
i'd like to see all the economy fares from baltimore to philadelphia ,airfare
show me information on ground transportation for dallas ,ground_service
show me the prices of first class tickets on us air round trip from cleveland to miami ,airfare
flight from dallas to boston tomorrow ,flight
show me airports in washington dc ,airport
from los angeles to phoenix on a friday ,flight
what is the cheapest coach fare from dallas to denver round trip ,airfare
list flights from philadelphia to dallas ,flight
what's the cheapest flight from atlanta to baltimore ,flight
ground transportation between airport and downtown in boston ,ground_service
names of airports ,airport
again i will repeat i want to make a one way flight from boston to atlanta will you tell me how much the fares are i would like the cheapest fare ,flight;atis_airfare
flights from la guardia to jfk ,flight
what classes of service does twa provide ,flight
list the flights from st. paul to san jose and from st. paul to houston ,flight
what are the flights from pittsburgh to baltimore ,flight
what flights leave charlotte north carolina and arrive in phoenix arizona on monday before 4 pm ,flight
i would like to see the flights available from pittsburgh to san francisco for monday ,flight
show me all daily flights out of boston that have coach class ,flight
i need a flight on friday from newark to tampa ,flight
what is the latest flight from san francisco to boston ,flight
what flights are available from boston to dallas ,flight
does eastern have an early afternoon flight from boston to san francisco ,flight
show me flights from pittsburgh to philadelphia ,flight
airlines that fly to miami from new york on friday ,airline
show flights from denver to san francisco ,flight
tell me about the ground transportation in chicago ,ground_service
and flight from oakland to boston leaving after midnight ,flight
do the airlines still offer first class ,airline
what flights go from newark to boston after 5 pm ,flight
please give me the earliest flight tomorrow from st. petersburg to milwaukee ,flight
i need to fly from boston to baltimore please give me the times of your flights in the morning before 8 o'clock ,flight
hi i'd like to fly from columbus to phoenix and make a stop in cincinnati along the way ,flight
what is the cheapest flight from boston to atlanta ,flight
list all round trip fares from pittsburgh to washington dc ,airfare
sfo to denver on monday november eleventh 1991 ,flight
please list all the flights from boston to denver which serve meals ,flight
what is the cheapest flight from pittsburgh to atlanta ,flight
i'd like a flight from indianapolis to toronto leaving thursday morning nonstop ,flight
i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning ,flight
list all flights from denver to philadelphia ,flight
all northwest and united airlines flights with stopovers in denver ,flight
i'd like to have some information on a ticket from denver to pittsburgh and atlanta ,airfare
show me one way flights from tampa to st. louis departing before 10 am first class ,flight
what is the cheapest fare from denver to pittsburgh ,airfare
list the airlines that have nonstop afternoon flights from boston to oakland ,airline
find the earliest flight from boston to san francisco that serves a meal ,flight
i want to go from denver to atlanta round trip and make a stop at pittsburgh may i have the cheapest fare ,flight
what are the lowest one way fares from pittsburgh to atlanta ,airfare
what is the coach economy class night service from boston to san francisco ,flight
what is the cost of the air taxi operation at philadelphia international airport ,ground_fare
what types of meals are available ,meal
please list the cheapest flights from dallas to baltimore arriving on may seventh ,flight
show first flight from philadelphia to dallas ,flight
i would like to fly from boston to oakland what airlines fly from boston to oakland ,flight
is there a flight between philadelphia and denver that leaves philadelphia around 2 o'clock in the afternoon ,flight
show me all flights from san francisco to denver ,flight
show me the flight that leaves philadelphia in the afternoon and arrives in the evening in denver ,flight
what are the flights from denver to pittsburgh ,flight
on november twenty third of this year 1991 i'd like to fly from atlanta to denver and i'd like to fly on delta ,flight
what flights are there tomorrow from tacoma to san jose ,flight
what is a flight that goes from baltimore to san francisco and arrives at san francisco at 8 pm on a friday ,flight
i'd like a flight from burbank to tacoma washington ,flight
please list all flights from dallas to pittsburgh on july fourth 1991 ,flight
list all flights arriving in pittsburgh monday evening from san francisco that first class ,flight
what are all the flights on delta in and out of fort worth ,flight
okay what i'd like to do on this one is go from washington to atlanta i want a nonstop and i'd like to leave around 5 pm ,flight
list all flights from boston to san francisco with at least 3 stops ,flight
what are the flights from atlanta to baltimore ,flight
list the flights from denver to san francisco after 2 pm on a monday ,flight
does delta aircraft fly dc10 ,aircraft
what flights are there from new york city to las vegas ,flight
does united have a flight from miami to washington dc on wednesday ,flight
show me all flights on thursday from atlanta to oakland which arrive in oakland before 5 o'clock pm and serve a meal ,flight
do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas ,flight
list nonstop flights from los angeles to pittsburgh which arrive on monday after 5 pm ,flight
what type of aircraft does eastern fly from atlanta to denver before 6 pm ,aircraft
list flights from phoenix to detroit on thursday june twenty fourth ,flight
do any us air flights leave from san francisco ,flight
what are the coach fares for flights from charlotte to newark tuesday afternoon ,airfare
i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you ,flight
is there a direct flight from atlanta to philadelphia that arrives in philadelphia around 12 noon ,flight
i would like to see all flights from denver to philadelphia ,flight
what is the arrival time in san francisco for the 755 am flight leaving washington ,flight_time
how much does it cost to fly from atlanta to san francisco ,airfare
i want a flight from long beach to st. louis that stops in dallas ,flight
okay that one's great too now we're going to go on april twenty second dallas to washington the latest nighttime departure one way ,flight
is there an afternoon flight from charlotte to minneapolis around 2 pm ,flight
show me all flights from charlotte to columbus ,flight
what are the round trip flights from philadelphia to san francisco ,flight
i would like to know what type of aircraft will be used on the morning of july seventh from atlanta to boston ,aircraft
american flights from cincinnati to salt lake city ,flight
please show me flights from denver to san francisco on wednesday after 1300 hours ,flight
flight from cleveland to nashville ,flight
what is the cheapest fare between boston and san francisco ,airfare
show me all daily flights from milwaukee to orlando ,flight
show me fares from baltimore to philadelphia ,airfare
list nonstop flights from burbank to denver arriving by 6 pm ,flight
could you tell me what morning flights are available from oakland to denver before 10 am ,flight
list flights from cincinnati to san jose friday evening ,flight
what flights are there on saturdays from philadelphia to denver ,flight
i would like to fly on american airlines from baltimore to san francisco ,flight
please show me airlines with flights from denver to boston with a stopover in philadelphia ,airline
what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars ,restriction
what ground transport is available in minneapolis ,ground_service
i'd like a ticket on a plane from denver to atlanta i would like a coach class or lowest fare ticket ,airfare
what are your flights from pittsburgh to baltimore ,flight
what flights go from philadelphia to dallas with a stopover in atlanta ,flight
show me the flights from boston to oakland ,flight
delta flights to san francisco please ,flight
please give me the flight times i would like to fly from boston to baltimore in the morning before 8 ,flight_time
what is the earliest flight that goes from atlanta to washington on thursday ,flight
what are the lowest one way fares from atlanta to denver ,airfare
what kind of aircraft do you have flying from boston to san francisco on august twenty seventh ,aircraft
what flights are there from nashville to houston tomorrow evening that serve dinner ,flight
on may four atlanta to denver delta flight 257 ,flight
list all flights going from boston to atlanta before 5 o'clock am on thursday ,flight
what is the cheapest fare that i can get between philadelphia and san francisco ,airfare
what is the schedule of ground transportation from the airport in philadelphia into downtown ,ground_service
what afternoon flights are available from atlanta to san francisco ,flight
what is the minimum connection time for houston intercontinental ,flight_time
show me flights to san francisco from philadelphia stopping in dallas ,flight
i would like to book a flight on us air first class from cleveland to miami on february twenty fourth ,flight
i need to spend much of a day on the ground in atlanta find me an early flight from boston and the lastest possible flight back from atlanta ,flight
show me the cheapest one way flights from pittsburgh to dallas leaving pittsburgh between noon and 2 pm ,flight
from phoenix to las vegas on saturday ,flight
i need to take ten people from denver to phoenix please give me the flights during the week ,flight
could i have the flights from newark to orlando please ,flight
i need a flight from long beach to st. louis stopping in dallas the flight should also serve lunch ,flight
how much does it cost to fly on american from dallas to baltimore ,airfare
what are the morning flights from philadelphia to dallas going on american airlines ,flight
i need fare information from denver to pittsburgh ,airfare
show me all flights between san francisco and philadelphia for september fifteenth ,flight
what is the ground transportation available in fort worth texas ,ground_service
what flights are there between washington dc and san francisco after 6 pm on wednesday ,flight
are there any flights from boston to san francisco with a stopover in dallas ,flight
what is the distance from toronto international airport to toronto ,distance
yes i would like to find what flights are available from atlanta to boston on the morning of july seventh ,flight
i would like an american flight from toronto to san diego with a stopover in denver please ,flight
list all the flights that arrive at general mitchell international from various cities ,flight
list all the takeoffs and landings at general mitchell international ,flight
how many first class flights does delta have today ,quantity
show me all the flights from denver and all the flights from miami that arrive at baltimore around noon ,flight
does united airlines provide any first class flights from denver to baltimore ,flight
i would like to find a flight that goes from boston to orlando i would like it to have a stop in new york and i would like a flight that serves breakfast ,flight
is there a flight on eastern airlines from boston to denver ,flight
i need to fly from nashville to tacoma first thing in the morning what is there ,flight
the flight will originate from boston ,flight
describe fare code qx ,abbreviation
what flights go from seattle to boston via minneapolis ,flight
what's the ground transportation like at pittsburgh ,ground_service
could you please give me information concerning american airlines a flight from washington dc to philadelphia the earliest one in the morning as possible ,flight
i want to fly from philadelphia to dallas and make a stopover in atlanta ,flight
please show me round trip tickets from denver to oakland ,airfare
what are the afternoon flights from atlanta to baltimore ,flight
i'd like information on the least expensive airfare round trip from pittsburgh to boston ,airfare
what is the least expensive way to fly from philadelphia to san francisco ,flight
what is ewr ,abbreviation
show me ground transportation in washington dc ,ground_service
show me airline abbreviations ,airline
all the flights from baltimore to san francisco ,flight
what flights arrive in seattle from on continental ,flight
in flight meal oakland to philadelphia saturday ,flight
show all tuesday morning flights from pittsburgh to denver ,flight
please give me all the flights from long beach california to memphis tennessee ,flight
phoenix to newark wednesday ,flight
could you tell me what the earliest flight that goes between atlanta and denver is which serves a meal ,flight
how much does a first class ticket cost from boston to san francisco round trip ,airfare
thank you for that information now i would like to book a flight from philadelphia to boston on the night of april sixteen around 9 o'clock ,flight
show me all the flights that arrive in baltimore in the evening ,flight
afternoon flights from boston to san francisco please that leave in the afternoon ,flight
show me the first flight that arrives in toronto from cincinnati ,flight
what is sa ,abbreviation
flights from boston to pittsburgh ,flight
show me the flights from love field to all other airports ,flight
ground transportation for st. paul ,ground_service
i need to fly from denver to san francisco tuesday ,flight
what are the flights and fares from boston to philadelphia ,flight;atis_airfare
i'm requesting flight information on a flight from denver to san francisco on wednesday ,flight
what flights are there from cleveland to miami on us air that arrive in miami before 4 pm ,flight
describe ground transportation in dallas ,ground_service
i would like the first flight from dallas into houston on march first and the last flight from houston back to dallas on march first ,flight
can you help me with ground transportation information i need to get from the airport in philadelphia to downtown philadelphia ,ground_service
i'd like to have some information on a ticket from denver to atlanta with a stop in pittsburgh ,airfare
i'd like to see the flights from baltimore to philadelphia ,flight
show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm ,flight
what are the flights from atlanta to baltimore which arrive in baltimore at 7 o'clock pm ,flight
flights from cincinnati to dallas departing after 718 am ,flight
from new york to toronto on thursday morning ,flight
what's the lowest round trip fare from dallas to any city ,airfare
i would like to book a flight from denver to pittsburgh on july fifteenth i'd like it to be the cheapest flight ,flight
i want a cheap from denver to atlanta ,flight
coach class flights on twa from columbus to st. paul ,flight
nonstop flights seattle to boston ,flight
what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental ,airfare
what is ua ,abbreviation
yes on the delta flight leaving san francisco at 225 pm arriving philadelphia 1158 pm what type of equipment is used on that flight ,flight
all flights from denver to philadelphia ,flight
which airlines fly from bwi to dallas fort worth ,airline
flights from los angeles to pittsburgh ,flight
are there any flights from dallas fort worth to boston leaving before 10 am ,flight
what is the earliest flight leaving boston and arriving in atlanta on november seventh ,flight
what is the least expensive airfare between boston and baltimore ,airfare
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta ,flight
all flights and fares from pittsburgh to dallas round trip after 12 pm less than 1100 dollars ,flight;atis_airfare
okay let's see do you have a flight on delta airline from atlanta to boston ,flight
show me all flights from oakland to philadelphia on saturday which serve a meal and arrive in philadelphia before noon ,flight
what flights do you have leaving denver and arriving in san francisco ,flight
show me the flights from chicago to indianapolis ,flight
i need a flight from kansas city to newark on the first of july ,flight
show me the least expensive flight from miami to new york on a sunday with first class fare ,flight
looking for flights in toronto to san diego ,flight
what is the earliest flight from denver to san francisco on the morning of august twenty seventh ,flight
show me the flights from san diego to newark new jersey ,flight
nonstop flights denver to kansas city ,flight
i would like an american airlines flight from cincinnati to burbank leaving this afternoon ,flight
list all flights going from boston to atlanta on wednesday after 6 o'clock pm on wednesday ,flight
show me next wednesday's flights between phoenix and milwaukee ,flight
what classes of service does twa have ,flight
what kind of airplane goes from boston to san francisco before noon ,aircraft
all fares and flights from philadelphia ,airfare
does midwest express serve baltimore ,flight
i would like to fly from baltimore to san francisco on eastern airlines ,flight
how many daily us air flights are there between philadelphia and pittsburgh ,quantity
i'd like a flight from san diego to toronto on alaska airlines leaving around 1 pm ,flight
i need a flight from philadelphia to boston ,flight
how far is downtown from the airport in dallas ,distance
list the fares of the delta airlines flights from boston to philadelphia ,airfare
list all nonstop flights from newark to tampa leaving on friday ,flight
please give me round trip fares from pittsburgh to philadelphia ,airfare
is there a late afternoon flight leaving washington for denver ,flight
i want a flight from montreal quebec to san diego california that leaves sunday ,flight
a first class flight on american to san francisco on tuesday in the next week ,flight
what is the first class fare from boston to dallas ,airfare
i would like to see all flights from baltimore to philadelphia ,flight
show me fares from baltimore to philadelphia ,airfare
flight information on january twenty third 1992 from denver to san francisco ,flight
what is the earliest departure time from boston to denver ,flight_time
flights from boston to pittsburgh ,flight
information of a flight from atlanta to pittsburgh ,flight
show me flights from atlanta to washington ,flight
round trip flights from minneapolis to san diego coach economy fare ,flight
show me the flights out of love field ,flight
what is the latest flight from philadelphia to boston ,flight
what are the flights from st. louis to burbank sunday evening ,flight
show me the flight from detroit to westchester county with the highest one way fare ,flight
i'd like to make a round trip from la to newark by way of charlotte ,flight
show me the flights from westchester county to cincinnati ,flight
show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas ,flight
what is the last flight from washington to boston ,flight
show me all flights from atlanta to san francisco which leave the day after tomorrow after 5 o'clock pm ,flight
find the earliest breakfast flight from boston to oakland ,flight
show me all flights between boston and washington ,flight
what flights from san jose to dallas on friday afternoon ,flight
how much will it cost taking coach from orlando to indianapolis on december twenty ninth flying us air 311 ,airfare
what flights are available on wednesday from atlanta to washington dc ,flight
on tuesday the twenty third flights from philadelphia to san francisco on american airlines ,flight
find travel arrangements for a round trip flight from dallas to pittsburgh after 8 pm ,flight
what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas ,aircraft
fly from dallas to baltimore ,flight
on august thirtieth i would like a flight from denver to san francisco in the early am ,flight
what are the flights from milwaukee to tampa ,flight
i'll need a rental car at the atlanta airport can you show me what's available ,ground_service
list daily flights from oakland to boston using united airlines ,flight
what is hp ,abbreviation
could you please find me the earliest flight from boston to oakland ,flight
show me the flights from san francisco to newark that leave after 11 pm ,flight
i need a flight delta airlines kansas city to salt lake ,flight
what flights depart from charlotte to newark that leave in the afternoon or leave in the evening ,flight
i'd like to fly from boston to san francisco ,flight
what flights from boston arrive in dallas fort worth before 5 pm ,flight
list all flights leaving denver arriving in seattle on saturday that depart after 1230 pm ,flight
all flights from miami to new york ,flight
tell me distance from orlando airport to the city ,distance
is there any ground transportation to the city in dallas ,ground_service
what are the flights from denver to baltimore on united airlines ,flight
what flights are there on wednesday evening or thursday morning from denver to sfo ,flight
which united airlines flights go through denver ,flight
would you be able to put me on a flight with delta leaving the morning of august twenty seventh from baltimore to san francisco ,flight
what is fare code h ,abbreviation
can i get from dallas to san francisco leaving in the morning and arriving in the morning ,flight
give me the flights from indianapolis to orlando on december twenty seventh and twenty eighth ,flight
no i want to go from denver to oakland ,flight
show flights from pittsburgh into san francisco ,flight
show me flights from milwaukee to orlando on wednesday evening or thursday mornings ,flight
show me the first class fares from boston to denver ,airfare
find travel arrangements for a one way flight from boston to pittsburgh ,flight
i want a flight from toronto to san diego that stops in st. louis are there flights ,flight
show me the dinner flights from baltimore to oakland ,flight
what flights are there from memphis to las vegas ,flight
i'm interested in flying from boston to atlanta ,flight
please list any flights from oakland california to philadelphia on tuesday ,flight
show me flights between memphis and las vegas on sunday ,flight
are there any other flights from boston to pittsburgh wednesday next week later than 5 pm ,flight
between boston and denver i'd like a flight that takes the least amount of stops to get to boston ,flight
list flights from pittsburgh to baltimore ,flight
explain restriction ap please ,abbreviation
what's the ground transportation from oakland to san francisco ,ground_service
what flights from miami to indianapolis ,flight
show all flights on lufthansa airlines out of boston ,flight
list all the flights from atlanta to charlotte north carolina that leave next monday ,flight
i'd like a flight from las vegas to detroit on monday ,flight
show me the cheapest fare from dallas to baltimore ,airfare
show me all flights from phoenix to milwaukee next wednesday ,flight
what ground transportation is available in dallas ,ground_service
i need information on a flight from washington to fort worth ,flight
ground transport in oakland ,ground_service
is there ground transportation between airport and downtown in boston ,ground_service
can i go from boston to san francisco with a stopover in denver ,flight
show me all flights arriving at dallas ,flight
what are all of the flights into and out of atlanta's airport ,flight
what is the first flight from atlanta to boston leaving on thursday september fifth ,flight
i'd like information on continental airlines flights from washington to philadelphia ,flight
show me all flights between san francisco and philadelphia on september fifteenth with departure time after 12 pm ,flight
what is the earliest flight from boston to san francisco on american airlines ,flight
show me all the us air flights to pittsburgh between 12 and 4 in the afternoon ,flight
what are the flights from pittsburgh to denver and back ,flight
show me all flights from pittsburgh to atlanta ,flight
what flights leave atlanta at about 3 in the afternoon and arrive in san francisco ,flight
what type of ground transportation is available in washington ,ground_service
what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh ,flight
fares and flights from denver to philadelphia ,airfare
i'd like united airlines flights from denver to baltimore ,flight
what are all the flights from boston to dallas ,flight
give me the flights from new york city to las vegas on sunday and the flights from memphis to las vegas on sunday ,flight
what flights leave san francisco after 8 pm and go to dallas fort worth ,flight
show me round trips from houston to las vegas nonstop ,flight
what is the latest return flight from atlanta to boston ,flight
give me the lowest fare from atlanta to denver on may seventh please ,airfare
what does the fare code qw mean ,abbreviation
flights that go from oakland to philadelphia on friday ,flight
what are the dinner flights from indianapolis to san diego on wednesday may twelfth ,flight
i'd like to find the cheapest flight from washington dc to atlanta ,flight
i would like a flight from boston to san francisco on august seventeenth ,flight
please show all flights from philadelphia to denver airport next sunday ,flight
show me flights from pittsburgh to san francisco on friday leaving after 12 noon ,flight
american flights to houston from cincinnati ,flight
what is the cheapest one way fare from atlanta to boston ,airfare
what is the least expensive one way fare from boston to san francisco ,airfare
philadelphia to boston monday ,flight
please list the twa flights from las vegas to new york and fare ,flight
show me flights from dallas to baltimore ,flight
now i want to see return flights from miami to new york ,flight
flight from denver to dallas fort worth ,flight
on july twenty third an early flight on american from philadelphia to san francisco ,flight
show me all the flights from toronto on nationair ,flight
display all flights from denver to san francisco on august seven ,flight
show me the united flights which go from boston to washington dc ,flight
i would like a flight as early as possible in the day leaving from boston and to denver ,flight
list all flights on saturday from dallas to san francisco nonstop ,flight
what is your last trip on august twenty seventh from washington to boston ,flight
show me the flights from baltimore to oakland please ,flight
which united airlines flight flies from boston to san francisco and makes a stopover in philadelphia ,flight
list all daily flights between boston and oakland using american airlines ,flight
what flights leave pittsburgh for denver on monday night ,flight
list all flights from boston to san francisco with the maximum number of stops ,flight
does eastern airlines fly between boston and washington ,flight
what delta flights are available from pittsburgh to san francisco ,flight
find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop ,flight
can you tell me about ground transportation between the dallas airport and downtown dallas ,ground_service
on july eighth i'd like a flight from newark to orlando in the morning ,flight
show first flight from pittsburgh to atlanta on wednesday ,flight
what is yyz ,abbreviation
what are the flights from san jose to nashville on thursday the twentieth ,flight
what is the distance from los angeles international airport to los angeles ,distance
show me all flights from san diego to los angeles ,flight
list all flights leaving san francisco monday afternoon arriving in pittsburgh ,flight
show me the delta flights from san francisco to boston ,flight
show me all flights from san francisco to boston philadelphia or baltimore ,flight
what are the afternoon flights for denver to san francisco ,flight
i would like a morning flight from milwaukee to denver colorado please ,flight
show me all flights from atlanta to denver which leave after 5 o'clock pm the day after tomorrow ,flight
give me the continental flights from seattle ,flight
what flights do you have between oakland and boston with a stopover in dallas fort worth ,flight
i'm traveling from boston to atlanta and i'd like to go sometime after 5 pm but i want to know what kind of airplane it's on ,aircraft
how many united flights are there to san francisco ,quantity
july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from denver going to baltimore ,airfare
what ground transportation is available in san francisco ,ground_service
what northwest airline flights leave denver before noon ,flight
show me any show me what the first class fares are of the flights from pittsburgh to san francisco on monday ,airfare
flights from columbus to milwaukee ,flight
what is the latest flight on wednesday going from atlanta to washington dc ,flight
show flights from pittsburgh to oakland on us airlines with fare information ,flight
all flights from pittsburgh to philadelphia ,flight
i need to fly from boston to denver and then to san francisco and back to boston ,flight
what does ewr mean ,abbreviation
what's the cheapest flight from dallas to baltimore on december seventeenth ,flight
what does it cost to fly from boston to oakland on united airlines ,airfare
i want information on flights from atlanta to washington dc i want to leave wednesday after 4 pm or thursday before 9 am ,flight
i would like to fly from boston to baltimore ,flight
tell me about ground transportation in st. petersburg airport ,ground_service
what are all flights from denver to philadelphia on saturday ,flight
list the flights from toronto to salt lake city ,flight
what are the latest flights that i can take from baltimore to boston ,flight
what flights are between dfw and oakland ,flight
i need a listing of flights from st. petersburg florida to tacoma washington leaving tomorrow and i would like to have a stopover in milwaukee please ,flight
what flights from atlanta to washington ,flight
show fares and flights from denver to oakland ,airfare
show me the cheapest flights from san francisco to philadelphia ,flight
show all flights from pittsburgh to san francisco ,flight
show me round trip tickets from new york to miami ,airfare
show me the flights from boston to san francisco that stop in dallas ,flight
from las vegas to phoenix ,flight
show me the flights from boston to oakland ,flight
i need late flight wednesday from oakland to salt lake city ,flight
i need information from denver to pittsburgh ,flight
please list all flights between indianapolis and orlando on the twenty seventh of december ,flight
okay i'd like a nonstop flight from houston to memphis that arrives in memphis in the early afternoon on tuesday june first ,flight
i'd like a flight from boston to san francisco leaving in the afternoon any time please ,flight
show me the round trip tickets from baltimore to atlanta ,airfare
show me all flights from philadelphia to denver on sunday which leave philadelphia after noon ,flight
flights between milwaukee and orlando one way ,flight
show me the one way flights from detroit to westchester county ,flight
find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm before 10 pm ,flight
i want to go from boston to oakland on united and leave at 838 am which flight should i take ,flight
list all united flights from boston to san francisco with fare code qx ,flight
what is restriction ap 80 ,abbreviation
what are the flights from nashville to tacoma on tuesday the eighteenth of may ,flight
what type of ground transportation is available at logan airport ,ground_service
what flights from indianapolis to memphis ,flight
which flights are there on tuesday from san francisco to pittsburgh ,flight
show me flights from washington to boston on friday ,flight
what is airline dl ,airline
what are the fares for flights between atlanta and dfw provided by american airlines ,airfare
show me the ground transportation in the salt lake city airport ,ground_service
do all the flights to oakland land at the same place ,flight
i'm interested in the cheapest fare from washington to fort worth ,airfare
please show me flights which cost less than or equal to 466 dollars from new york to miami leaving on a tuesday ,flight
now i need a flight leaving fort worth and arriving in denver no later than 2 pm next monday ,flight
all flights from boston to washington dc on the tenth of november ,flight
ground transportation philadelphia ,ground_service
i want the flights from toronto to san diego that stop in st. louis ,flight
hi i need to go from cincinnati to san jose california after 6 pm on saturday ,flight
show me the flights from love field ,flight
show me flights from pittsburgh to philadelphia ,flight
while i'm in pittsburgh what ground transportation is available ,ground_service
show me the flights from denver to philadelphia and the flights from pittsburgh to philadelphia ,flight
what airplane types fly from pittsburgh to baltimore ,aircraft
list the flights from dallas to san francisco on american airlines ,flight
train to newark ,ground_service
what flights go to san francisco from boston ,flight
show me all flights from philadelphia to dallas which arrive in dallas before 3 o'clock pm on saturday ,flight
list evening flights tomorrow from phoenix to detroit ,flight
what is the earliest flight going from san francisco to dallas on monday august nineteenth ,flight
i would like to originate my flight in washington dc stop in denver with the destination city of san francisco ,flight
what's the fare for delta flight 217 from dallas to san francisco ,airfare
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh ,flight_time
flights between new york and san jose ,flight
show me all flights from new york to miami on a tuesday with round trip fare less than 932 dollars ,flight
what does fare code qo mean ,abbreviation
what are the flights available in the morning between boston and denver ,flight
what is the latest flight from washington dc to denver ,flight
what does ground transportation look like in oakland ,ground_service
i would like a flight from baltimore to san francisco on twa with a stop in denver ,flight
flight from denver to boston ,flight
show me all nationair flights from toronto ,flight
what is the abbreviation for canadian airlines international ,abbreviation
list the flights from houston to st. paul ,flight
how much does it cost to fly from boston to atlanta ,airfare
what airline is dl ,airline
